G: 16.40076816, SA: 18.92001275, diff: 2.519244590000003, Winner: SA
G: 21.55163092, SA: 21.54808622, diff: 0.0035447000000026208, Winner: G
G: 21.78905113, SA: 21.77598537, diff: 0.013065759999999926, Winner: G
G: 23.32398596, SA: 23.32132223, diff: 0.0026637300000018627, Winner: G
G: 24.34471838, SA: 24.33133729, diff: 0.013381089999999318, Winner: G
G: 20.08387382, SA: 21.48282334, diff: 1.3989495199999986, Winner: SA
G: 19.65812958, SA: 19.65771466, diff: 0.00041492000000076246, Winner: G
G: 19.5687365, SA: 19.56490643, diff: 0.0038300699999993526, Winner: G
G: 15.79300381, SA: 15.79227706, diff: 0.0007267500000001093, Winner: G
G: 17.33546591, SA: 17.32901427, diff: 0.006451640000001646, Winner: G
G: 22.82450607, SA: 22.82346809, diff: 0.0010379800000031025, Winner: G
G: 20.40834988, SA: 20.40750911, diff: 0.0008407699999999352, Winner: G
G: 24.24663775, SA: 24.2422034, diff: 0.004434350000000364, Winner: G
G: 23.5440543, SA: 23.53991623, diff: 0.004138069999999772, Winner: G
G: 23.96576589, SA: 23.96245203, diff: 0.0033138599999986695, Winner: G
G: 26.08093659, SA: 26.07851034, diff: 0.002426249999999186, Winner: G
G: 25.18620024, SA: 25.18584443, diff: 0.00035581000000206586, Winner: G
G: 19.24608999, SA: 19.24481456, diff: 0.001275430000003297, Winner: G
G: 21.69455686, SA: 20.02908473, diff: 1.6654721299999977, Winner: G
G: 22.72288317, SA: 22.71176537, diff: 0.011117800000000955, Winner: G
G: 24.42777951, SA: 24.42711405, diff: 0.0006654600000004507, Winner: G
G: 23.90220916, SA: 23.89922816, diff: 0.002981000000001899, Winner: G
G: 24.56852759, SA: 24.56309133, diff: 0.0054362599999997485, Winner: G
G: 16.57770392, SA: 16.57641596, diff: 0.0012879600000026414, Winner: G
G: 18.65198575, SA: 23.69814603, diff: 5.046160279999999, Winner: SA
G: 19.63139385, SA: 19.62931982, diff: 0.002074029999999283, Winner: G
G: 17.63436467, SA: 23.31616875, diff: 5.681804079999999, Winner: SA
G: 14.54162703, SA: 14.53189372, diff: 0.009733310000001438, Winner: G
G: 21.1415138, SA: 21.14102218, diff: 0.0004916199999982496, Winner: G
G: 16.88786339, SA: 20.5566018, diff: 3.6687384099999996, Winner: SA
G: 19.51696855, SA: 19.49725201, diff: 0.019716540000001004, Winner: G
G: 17.83610414, SA: 17.83228239, diff: 0.003821750000000179, Winner: G
G: 21.65801836, SA: 21.65712289, diff: 0.0008954699999996762, Winner: G
G: 23.53045272, SA: 23.52487228, diff: 0.005580439999999243, Winner: G
G: 16.41354003, SA: 16.40468179, diff: 0.008858239999998574, Winner: G
G: 19.43806712, SA: 19.43670046, diff: 0.0013666599999986317, Winner: G
G: 23.12023604, SA: 23.1151902, diff: 0.005045840000001078, Winner: G
G: 21.90695635, SA: 21.8983169, diff: 0.008639450000000437, Winner: G
G: 20.94060556, SA: 20.94060431, diff: 1.250000000396767e-06, Winner: G
G: 23.99075444, SA: 23.98705729, diff: 0.003697150000000704, Winner: G
G: 23.43372316, SA: 23.4337026, diff: 2.0559999999392176e-05, Winner: G
G: 19.98814718, SA: 19.97632021, diff: 0.011826969999997772, Winner: G
G: 23.71824237, SA: 23.71735489, diff: 0.0008874799999993854, Winner: G
G: 17.51419776, SA: 17.50921923, diff: 0.004978529999998926, Winner: G
G: 22.55097612, SA: 22.54827738, diff: 0.0026987400000031414, Winner: G
G: 18.40966033, SA: 18.40797669, diff: 0.0016836399999995422, Winner: G
G: 24.36613524, SA: 24.36268808, diff: 0.003447159999996785, Winner: G
G: 22.29421349, SA: 22.29420704, diff: 6.450000000768341e-06, Winner: G
G: 21.60332072, SA: 21.59988145, diff: 0.003439269999997663, Winner: G
G: 20.88878003, SA: 20.88817518, diff: 0.0006048499999984358, Winner: G
G: 15.43923072, SA: 20.00281795, diff: 4.563587230000001, Winner: SA
G: 19.35328513, SA: 19.34446512, diff: 0.008820010000000877, Winner: G
G: 21.36492392, SA: 21.36434863, diff: 0.0005752900000004502, Winner: G
G: 20.54103258, SA: 20.53826844, diff: 0.002764140000000026, Winner: G
G: 23.77581714, SA: 23.77129174, diff: 0.004525400000002122, Winner: G
G: 17.90268542, SA: 17.90265819, diff: 2.723000000059983e-05, Winner: G
G: 25.18617707, SA: 25.18348219, diff: 0.002694879999999955, Winner: G
G: 21.51256732, SA: 21.5125317, diff: 3.561999999845966e-05, Winner: G
SA wins: 11, G wins: 89, Ties: 0
