G: 1.05301849, SA: 1.05297259, diff: 4.5899999999932106e-05, Winner: G
G: 1.9838633, SA: 1.98382246, diff: 4.0840000000041954e-05, Winner: G
G: 1.76278878, SA: 1.76278865, diff: 1.299999998760626e-07, Winner: G
G: 1.03015674, SA: 1.10126844, diff: 0.07111169999999989, Winner: SA
G: 0.99999983, SA: 2.02116818, diff: 1.02116835, Winner: SA
G: 1.44387899, SA: 1.44386287, diff: 1.611999999995284e-05, Winner: G
G: 2.17341419, SA: 2.17340705, diff: 7.1400000001276e-06, Winner: G
G: 1.00782453, SA: 1.00774837, diff: 7.615999999988077e-05, Winner: G
G: 1.00303472, SA: 1.00302709, diff: 7.630000000036219e-06, Winner: G
G: 2.00700592, SA: 2.00693729, diff: 6.862999999990294e-05, Winner: G
G: 1.00196549, SA: 2.88647933, diff: 1.8845138399999999, Winner: SA
G: 1.00389166, SA: 1.00388177, diff: 9.8900000000679e-06, Winner: G
G: 2.72558269, SA: 2.72543566, diff: 0.00014702999999993693, Winner: G
G: 1.01633453, SA: 2.90952654, diff: 1.89319201, Winner: SA
G: 0.99999976, SA: 0.99998938, diff: 1.0379999999976519e-05, Winner: G
G: 2.04496728, SA: 2.4e-07, diff: 2.04496704, Winner: G
G: 1.97200465, SA: 1.80692256, diff: 0.16508208999999985, Winner: G
G: 0.99999975, SA: 0.9999769, diff: 2.285000000001869e-05, Winner: G
G: 1.89997852, SA: 1.89981603, diff: 0.0001624899999999041, Winner: G
G: 1.02420518, SA: 1.02417137, diff: 3.381000000013401e-05, Winner: G
G: 1.00072404, SA: 1.00072402, diff: 1.999999987845058e-08, Winner: G
G: 2.76244875, SA: 2.76213955, diff: 0.0003091999999997874, Winner: G
G: 5.64e-06, SA: 1.97072385, diff: 1.97071821, Winner: SA
G: 1.00364381, SA: 1.97634273, diff: 0.97269892, Winner: SA
G: 2.66774993, SA: 2.66774394, diff: 5.990000000011264e-06, Winner: G
G: 4.2e-06, SA: 0.0, diff: 4.2e-06, Winner: G
G: 1.01070112, SA: 1.01069299, diff: 8.130000000106108e-06, Winner: G
G: 1.83409097, SA: 2.1659452, diff: 0.3318542299999998, Winner: SA
G: 1.92764117, SA: 1.92763558, diff: 5.589999999999762e-06, Winner: G
G: 0.99999975, SA: 0.99999961, diff: 1.3999999992631018e-07, Winner: G
G: 2.32599721, SA: 2.32597501, diff: 2.2200000000083264e-05, Winner: G
G: 2.54240427, SA: 2.54239825, diff: 6.01999999982894e-06, Winner: G
G: 1.77986127, SA: 1.01568946, diff: 0.7641718100000001, Winner: G
G: 1.00085021, SA: 1.00065299, diff: 0.00019721999999999795, Winner: G
G: 2.54517009, SA: 2.54514631, diff: 2.3780000000250823e-05, Winner: G
G: 2.84991206, SA: 2.84990984, diff: 2.2199999998306907e-06, Winner: G
G: 1.9994026, SA: 1.9992449, diff: 0.00015769999999992734, Winner: G
G: 1.00169089, SA: 1.00168843, diff: 2.45999999992641e-06, Winner: G
G: 1.24666024, SA: 1.24665999, diff: 2.500000000349445e-07, Winner: G
G: 1.00510064, SA: 1.81324681, diff: 0.8081461700000001, Winner: SA
G: 1.87471194, SA: 1.8746667, diff: 4.524000000016848e-05, Winner: G
G: 1.97911703, SA: 1.97910872, diff: 8.310000000122386e-06, Winner: G
G: 1.32116863, SA: 2.54185704, diff: 1.22068841, Winner: SA
G: 1.83575954, SA: 1.83568488, diff: 7.465999999989315e-05, Winner: G
G: 1.88249938, SA: 1.88238698, diff: 0.00011240000000012351, Winner: G
G: 1.57766752, SA: 1.57766707, diff: 4.5000000015171793e-07, Winner: G
G: 2.68341298, SA: 2.68334686, diff: 6.612000000005835e-05, Winner: G
G: 2.62461151, SA: 2.62460567, diff: 5.840000000034706e-06, Winner: G
G: 1.9811725, SA: 1.98116616, diff: 6.340000000104595e-06, Winner: G
G: 0.99999975, SA: 0.99964882, diff: 0.00035092999999997154, Winner: G
G: 2.58907804, SA: 2.58905901, diff: 1.9029999999808922e-05, Winner: G
G: 2.17874999, SA: 2.17872286, diff: 2.712999999987531e-05, Winner: G
G: 2.86440924, SA: 2.86437915, diff: 3.0090000000093653e-05, Winner: G
G: 1.98347933, SA: 1.98347941, diff: 7.999999995789153e-08, Winner: SA
G: 2.05735933, SA: 2.05735299, diff: 6.340000000104595e-06, Winner: G
G: 2.18332648, SA: 2.18331446, diff: 1.201999999977943e-05, Winner: G
G: 2.9344202, SA: 2.93439093, diff: 2.926999999974811e-05, Winner: G
G: 2.28172712, SA: 2.28165107, diff: 7.60500000001052e-05, Winner: G
G: 0.99999993, SA: 2.98836104, diff: 1.98836111, Winner: SA
G: 2.00502506, SA: 2.00500938, diff: 1.5679999999740346e-05, Winner: G
G: 1.00154086, SA: 1.00150363, diff: 3.722999999999921e-05, Winner: G
G: 0.99999976, SA: 0.9999749, diff: 2.4860000000015425e-05, Winner: G
G: 1.99329555, SA: 1.99328156, diff: 1.3990000000019265e-05, Winner: G
G: 2.17714582, SA: 2.17713739, diff: 8.429999999837179e-06, Winner: G
G: 2.58307032, SA: 2.58296021, diff: 0.00011011000000005211, Winner: G
G: 1.00271746, SA: 1.00262383, diff: 9.362999999984467e-05, Winner: G
G: 7.1e-07, SA: 0.0, diff: 7.1e-07, Winner: G
G: 1.6383518, SA: 1.63835194, diff: 1.4000000003733248e-07, Winner: SA
G: 2.13698867, SA: 2.13698328, diff: 5.390000000105033e-06, Winner: G
G: 2.06242213, SA: 2.85455542, diff: 0.7921332900000002, Winner: SA
G: 1.67532758, SA: 1.67530198, diff: 2.560000000007001e-05, Winner: G
G: 1.02668544, SA: 2.001064, diff: 0.9743785599999999, Winner: SA
G: 3.32936495, SA: 3.32926879, diff: 9.616000000001179e-05, Winner: G
SA wins: 20, G wins: 80, Ties: 0
