G: 12.44481437, SA: 12.4448066, diff: 7.769999999851507e-06, Winner: G
G: 8.12409337, SA: 8.12398582, diff: 0.00010755000000095549, Winner: G
G: 12.72971469, SA: 12.72971401, diff: 6.799999994200334e-07, Winner: G
G: 10.67838716, SA: 10.6782344, diff: 0.00015276000000064016, Winner: G
G: 10.52475472, SA: 10.5247542, diff: 5.200000003924288e-07, Winner: G
G: 11.66123642, SA: 11.66123132, diff: 5.099999999202964e-06, Winner: G
G: 13.16796346, SA: 13.16796279, diff: 6.699999985926297e-07, Winner: G
G: 10.56935291, SA: 10.56906639, diff: 0.0002865199999995127, Winner: G
G: 13.11249048, SA: 13.11248206, diff: 8.420000000342043e-06, Winner: G
G: 8.71102207, SA: 8.71100025, diff: 2.1820000000616346e-05, Winner: G
G: 10.5488694, SA: 10.54884758, diff: 2.181999999883999e-05, Winner: G
G: 14.51853334, SA: 14.51848144, diff: 5.189999999899442e-05, Winner: G
G: 9.29206316, SA: 9.29198408, diff: 7.907999999900994e-05, Winner: G
G: 13.56354127, SA: 13.56353638, diff: 4.889999999591055e-06, Winner: G
G: 9.28772169, SA: 9.28772136, diff: 3.29999998882613e-07, Winner: G
G: 11.80100796, SA: 11.8008076, diff: 0.00020035999999912235, Winner: G
G: 10.59632086, SA: 10.59631963, diff: 1.2300000005183165e-06, Winner: G
G: 10.93176456, SA: 10.93176397, diff: 5.899999990788274e-07, Winner: G
G: 11.3537374, SA: 11.35369672, diff: 4.067999999968208e-05, Winner: G
G: 11.68099221, SA: 11.68066659, diff: 0.0003256199999999154, Winner: G
G: 8.90531502, SA: 8.90238141, diff: 0.002933609999999476, Winner: G
G: 11.10702336, SA: 11.10669596, diff: 0.00032739999999975566, Winner: G
G: 13.83605206, SA: 13.83580935, diff: 0.00024271000000020138, Winner: G
G: 10.88912496, SA: 10.61607789, diff: 0.2730470700000005, Winner: G
G: 9.04024648, SA: 9.03961087, diff: 0.0006356099999997866, Winner: G
G: 8.02132499, SA: 8.02132474, diff: 2.499999993688107e-07, Winner: G
G: 15.14817513, SA: 15.14808921, diff: 8.59200000000726e-05, Winner: G
SA wins: 7, G wins: 93, Ties: 0
