G: 3.64072467, SA: 3.6394429, diff: 0.0012817699999998489, Winner: G
G: 4.26306982, SA: 4.26133812, diff: 0.0017317000000005578, Winner: G
G: 5.70354307, SA: 5.69494301, diff: 0.00860006000000002, Winner: G
G: 4.62098585, SA: 4.61401151, diff: 0.00697434000000019, Winner: G
G: 6.21503383, SA: 6.21023829, diff: 0.0047955399999999315, Winner: G
G: 4.90675182, SA: 4.7090537, diff: 0.1976981200000001, Winner: G
G: 4.38265775, SA: 5.72706053, diff: 1.3444027800000002, Winner: SA
G: 5.79448588, SA: 5.78879582, diff: 0.005690060000000052, Winner: G
G: 4.55016722, SA: 4.5420488, diff: 0.008118419999999738, Winner: G
G: 6.00102551, SA: 5.99643548, diff: 0.004590030000000134, Winner: G
G: 5.40942122, SA: 5.40038883, diff: 0.00903238999999978, Winner: G
G: 3.52623447, SA: 3.52252341, diff: 0.0037110600000000993, Winner: G
G: 5.79424121, SA: 5.78522028, diff: 0.009020930000000149, Winner: G
G: 6.38650048, SA: 6.38411271, diff: 0.002387769999999456, Winner: G
G: 4.30186726, SA: 5.58642813, diff: 1.28456087, Winner: SA
G: 5.55121992, SA: 5.54527543, diff: 0.00594449000000008, Winner: G
G: 5.41072723, SA: 5.39813553, diff: 0.012591699999999761, Winner: G
G: 6.88826815, SA: 6.88825859, diff: 9.559999999630975e-06, Winner: G
G: 3.82324182, SA: 3.82007292, diff: 0.003168899999999919, Winner: G
G: 6.9921251, SA: 6.98795734, diff: 0.004167759999999632, Winner: G
G: 6.35198338, SA: 6.33733294, diff: 0.014650440000000486, Winner: G
G: 4.37658378, SA: 2.69460805, diff: 1.68197573, Winner: G
G: 4.64965492, SA: 4.64131307, diff: 0.008341849999999873, Winner: G
G: 5.68666714, SA: 5.68486909, diff: 0.0017980499999996624, Winner: G
G: 3.07208714, SA: 6.10203639, diff: 3.0299492500000005, Winner: SA
G: 4.82012939, SA: 4.7966204, diff: 0.02350898999999984, Winner: G
G: 4.64137941, SA: 4.6370106, diff: 0.00436880999999989, Winner: G
G: 3.37095452, SA: 3.36591332, diff: 0.005041199999999968, Winner: G
G: 4.59225186, SA: 4.58147588, diff: 0.010775980000000018, Winner: G
G: 5.01748444, SA: 5.00891546, diff: 0.008568979999999726, Winner: G
G: 5.96547614, SA: 5.94677393, diff: 0.01870220999999983, Winner: G
G: 4.2935864, SA: 6.07119684, diff: 1.7776104400000001, Winner: SA
G: 5.21878786, SA: 5.19809019, diff: 0.02069766999999967, Winner: G
G: 6.01882361, SA: 6.01523455, diff: 0.003589060000000366, Winner: G
G: 4.41327715, SA: 5.30908099, diff: 0.8958038400000001, Winner: SA
G: 3.26623931, SA: 4.11271166, diff: 0.8464723500000004, Winner: SA
G: 7.07395982, SA: 7.04753123, diff: 0.026428590000000085, Winner: G
G: 4.06222639, SA: 3.26334614, diff: 0.7988802500000003, Winner: G
G: 6.59936819, SA: 6.55373663, diff: 0.04563155999999946, Winner: G
G: 4.25527871, SA: 4.25184398, diff: 0.0034347299999994974, Winner: G
G: 5.68513495, SA: 5.65005211, diff: 0.03508284000000028, Winner: G
G: 5.72290794, SA: 5.70576717, diff: 0.01714077000000014, Winner: G
G: 6.78939799, SA: 6.78884513, diff: 0.0005528599999999884, Winner: G
G: 3.83177288, SA: 3.50536522, diff: 0.3264076600000001, Winner: G
G: 5.2236396, SA: 5.2192406, diff: 0.004399000000000264, Winner: G
G: 8.34157691, SA: 5.78939482, diff: 2.5521820900000005, Winner: G
SA wins: 21, G wins: 79, Ties: 0
