G: 0.00012808, SA: 0.99955583, diff: 0.9994277500000001, Winner: SA
G: 1.04072525, SA: 1.06789027, diff: 0.027165019999999984, Winner: SA
G: 1.02302896, SA: 1.80290967, diff: 0.77988071, Winner: SA
G: 1.01288004, SA: 1.12778208, diff: 0.11490204000000004, Winner: SA
G: 1.74807775, SA: 1.74227033, diff: 0.005807420000000008, Winner: G
G: 1.00739815, SA: 1.00709627, diff: 0.00030188000000008763, Winner: G
G: 1.00652908, SA: 1.00537506, diff: 0.0011540199999999778, Winner: G
G: 1.05226877, SA: 1.91061675, diff: 0.85834798, Winner: SA
G: 1.02285146, SA: 1.77709602, diff: 0.7542445600000001, Winner: SA
G: 8.756e-05, SA: 1.00365825, diff: 1.0035706899999999, Winner: SA
G: 1.00095101, SA: 1.38007129, diff: 0.37912028, Winner: SA
G: 1.00003763, SA: 0.99714174, diff: 0.002895890000000012, Winner: G
G: 1.0532051, SA: 1.91449218, diff: 0.8612870800000001, Winner: SA
G: 1.01770452, SA: 1.51036597, diff: 0.49266145000000017, Winner: SA
G: 1.07431486, SA: 2.15991299, diff: 1.08559813, Winner: SA
G: 1.06674664, SA: 0.99949832, diff: 0.06724832000000003, Winner: G
G: 1.26170224, SA: 1.01075054, diff: 0.2509516999999999, Winner: G
G: 1.00161157, SA: 1.00064356, diff: 0.0009680099999997971, Winner: G
G: 1.36100842, SA: 1.97527285, diff: 0.61426443, Winner: SA
G: 1.01761544, SA: 1.01720635, diff: 0.00040909000000000084, Winner: G
G: 1.0888778, SA: 1.69185048, diff: 0.6029726800000001, Winner: SA
G: 1.0053785, SA: 1.00278491, diff: 0.0025935900000000345, Winner: G
G: 1.06360941, SA: 1.50128519, diff: 0.43767577999999996, Winner: SA
G: 1.08133586, SA: 0.0, diff: 1.08133586, Winner: G
G: 1.53293182, SA: 1.01443166, diff: 0.5185001599999999, Winner: G
G: 1.00022229, SA: 2.13183019, diff: 1.1316079, Winner: SA
G: 2.148145, SA: 2.147264, diff: 0.0008810000000001317, Winner: G
G: 1.00316875, SA: 1.51312425, diff: 0.5099555, Winner: SA
G: 1.00240129, SA: 1.3e-07, diff: 1.0024011599999998, Winner: G
G: 1.10118564, SA: 2.07608903, diff: 0.9749033899999999, Winner: SA
G: 1.40476006, SA: 0.0, diff: 1.40476006, Winner: G
G: 1.0002494, SA: 0.9970049, diff: 0.0032444999999999835, Winner: G
G: 1.00003022, SA: 1.33195457, diff: 0.33192435, Winner: SA
G: 1.40052351, SA: 0.0, diff: 1.40052351, Winner: G
G: 1.00005506, SA: 0.99534007, diff: 0.0047149899999999745, Winner: G
G: 1.13417837, SA: 1.13581702, diff: 0.0016386499999998527, Winner: SA
G: 1.00000672, SA: 0.0, diff: 1.00000672, Winner: G
G: 1.00050378, SA: 0.99920529, diff: 0.001298490000000041, Winner: G
G: 1.00955669, SA: 0.99920087, diff: 0.010355819999999905, Winner: G
G: 1.47492538, SA: 1.47375055, diff: 0.001174829999999849, Winner: G
G: 1.05048178, SA: 1.70188482, diff: 0.6514030400000002, Winner: SA
G: 1.0594633, SA: 1.04003944, diff: 0.01942386000000007, Winner: G
G: 1.97550492, SA: 0.0, diff: 1.97550492, Winner: G
G: 1.33962039, SA: 1.38005691, diff: 0.040436519999999865, Winner: SA
G: 1.88507163, SA: 1.8820308, diff: 0.0030408300000002164, Winner: G
G: 1.2032148, SA: 1.20255399, diff: 0.0006608100000000672, Winner: G
G: 1.00193026, SA: 1.67955727, diff: 0.6776270100000001, Winner: SA
G: 1.740691, SA: 1.74006453, diff: 0.0006264700000000456, Winner: G
G: 2.66611776, SA: 2.51228152, diff: 0.15383623999999996, Winner: G
G: 2.01348376, SA: 0.0, diff: 2.01348376, Winner: G
G: 1.00013413, SA: 1.05102383, diff: 0.05088970000000015, Winner: SA
G: 1.03752891, SA: 1.66757398, diff: 0.63004507, Winner: SA
G: 1.2206289, SA: 1.00464465, diff: 0.21598425, Winner: G
G: 1.32882467, SA: 1.32762173, diff: 0.0012029399999999857, Winner: G
G: 1.56232324, SA: 1.55885947, diff: 0.003463769999999977, Winner: G
G: 1.69319126, SA: 1.69200178, diff: 0.001189480000000076, Winner: G
G: 1.01872226, SA: 0.99971077, diff: 0.01901149000000013, Winner: G
G: 1.03091542, SA: 0.0, diff: 1.03091542, Winner: G
G: 1.00037401, SA: 1.00013452, diff: 0.00023949000000000886, Winner: G
G: 2.09471749, SA: 1.82139557, diff: 0.2733219199999999, Winner: G
G: 1.00133071, SA: 1.27280941, diff: 0.2714787000000001, Winner: SA
G: 1.00596714, SA: 1.0055894, diff: 0.0003777400000000153, Winner: G
G: 1.11489275, SA: 1.22776006, diff: 0.11286730999999994, Winner: SA
G: 1.00045916, SA: 0.99969546, diff: 0.0007636999999999228, Winner: G
SA wins: 32, G wins: 68, Ties: 0
