G: 1.00000085, SA: 0.96076702, diff: 0.039233829999999914, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.01427707, SA: 0.0, diff: 1.01427707, Winner: G
G: 0.99999975, SA: 0.00669524, diff: 0.99330451, Winner: G
G: 1.00052669, SA: 0.0, diff: 1.00052669, Winner: G
G: 0.00012035, SA: 0.0, diff: 0.00012035, Winner: G
G: 1.00130824, SA: 1.07819426, diff: 0.07688602000000011, Winner: SA
G: 1.00114472, SA: 0.9908383, diff: 0.01030642000000015, Winner: G
G: 0.99999975, SA: 0.98979174, diff: 0.010208009999999934, Winner: G
G: 1e-08, SA: 0.00117157, diff: 0.00117156, Winner: SA
G: 1.0000481, SA: 0.0, diff: 1.0000481, Winner: G
G: 9e-07, SA: 7e-08, diff: 8.3e-07, Winner: G
G: 8.5e-07, SA: 0.0, diff: 8.5e-07, Winner: G
G: 1.04079187, SA: 1.03523142, diff: 0.005560450000000161, Winner: G
G: 1.30911704, SA: 2e-08, diff: 1.30911702, Winner: G
G: 1.01563654, SA: 0.99114627, diff: 0.024490270000000036, Winner: G
G: 1.00000837, SA: 0.01745394, diff: 0.98255443, Winner: G
G: 1.00000187, SA: 1.12551423, diff: 0.1255123600000001, Winner: SA
G: 0.99999975, SA: 0.99850074, diff: 0.0014990099999999673, Winner: G
G: 1.00053755, SA: 0.99575533, diff: 0.004782219999999948, Winner: G
G: 0.0, SA: 2.606e-05, diff: 2.606e-05, Winner: SA
G: 1.451e-05, SA: 1.2e-07, diff: 1.439e-05, Winner: G
G: 0.99999984, SA: 0.0, diff: 0.99999984, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 2.273e-05, SA: 0.97909926, diff: 0.9790765300000001, Winner: SA
G: 0.99999975, SA: 0.00094621, diff: 0.99905354, Winner: G
G: 1.7e-06, SA: 0.0, diff: 1.7e-06, Winner: G
G: 1.00000018, SA: 0.98139356, diff: 0.018606620000000018, Winner: G
G: 8e-08, SA: 0.98438611, diff: 0.98438603, Winner: SA
G: 0.99999975, SA: 0.0, diff: 0.99999975, Winner: G
G: 0.99999976, SA: 0.97867054, diff: 0.021329220000000038, Winner: G
G: 1.00138429, SA: 0.98623004, diff: 0.015154250000000036, Winner: G
G: 5.282e-05, SA: 0.0, diff: 5.282e-05, Winner: G
G: 7.447e-05, SA: 1e-08, diff: 7.446e-05, Winner: G
G: 3e-08, SA: 9.23e-06, diff: 9.2e-06, Winner: SA
G: 9e-07, SA: 0.97681374, diff: 0.97681284, Winner: SA
G: 1.0000041, SA: 2.161e-05, diff: 0.99998249, Winner: G
G: 8e-08, SA: 0.0, diff: 8e-08, Winner: G
G: 3.802e-05, SA: 0.0, diff: 3.802e-05, Winner: G
G: 1.10511966, SA: 1.03281887, diff: 0.07230078999999989, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999996, SA: 0.0, diff: 0.99999996, Winner: G
G: 1.0000318, SA: 0.99109279, diff: 0.00893900999999997, Winner: G
G: 7.9e-06, SA: 5.8e-07, diff: 7.320000000000001e-06, Winner: G
SA wins: 18, G wins: 71, Ties: 11
